price,bedrooms,bathrooms,pets,furnished,address,latitude,longitude,date,roommate,utilities
2000,1,1,0,0,741 Johnson St Victoria BC CA,48.426887,-123.361966,2018-01-22 5:02,0,1
2250,3,1,1,0,650 Head street Victoria BC CA,48.43239,-123.402746,2018-01-22 5:39,0,1
1225,1,1,0,0,960 Inverness Rd Victoria BC CA,48.452641,-123.363961,2018-01-22 15:18,0,1
1125,1,1,0,0,,,,2018-01-05 5:02,0,1
2000,2,2,0,0,211 Robertson St Victoria BC CA,48.412047,-123.331556,2018-01-22 18:53,0,0
2050,3,1,1,0,3863 Epsom Dr Victoria BC CA,48.464745,-123.344101,2018-01-22 19:53,0,1
1100,1,1,0,1,"7088 Wallace Drive, Brentwood Bay, BC V8M 1P4, Canada Brentwood Bay BC CA",48.576043,-123.434754,2018-01-22 20:01,0,1
1300,0,0,0,0,Admirals Victoria BC CA,48.437097,-123.418268,2018-01-19 20:33,0,1
1300,2,1,0,0,3235-3245 Admirals Rd Victoria BC CA,48.459668,-123.403044,2018-01-22 20:58,0,0
1100,1,1,0,0,"7088 Wallace Drive, Brentwood Bay, BC V8M 1P4, Canada Brentwood Bay BC CA",48.5761,-123.434764,2018-01-22 21:51,0,0
3300,2,2,0,0,741 Johnson St Victoria BC CA,48.426887,-123.361966,2018-01-22 22:25,0,0
4500,3,2,0,0,740-730 Tyee Rd Victoria BC CA,48.435674,-123.382201,2018-01-22 22:28,0,0
2550,1,1,0,1,741 Johnson St Victoria BC CA,48.426887,-123.361966,2018-01-22 22:30,0,1
2550,1,1,0,1,742 Johnson St Victoria BC CA,48.426887,-123.361966,2018-01-22 22:32,0,1
3300,2,2,1,0,1107-760 Johnson St Victoria BC CA,48.426853,-123.361838,2018-01-22 22:33,0,1
3300,2,1,0,0,502 760 Johnson St Victoria BC CA,48.427022,-123.362474,2018-01-22 22:33,0,1
3180,2,1,1,0,1107-760 Johnson St Victoria BC CA,48.426881,-123.361849,2018-01-22 22:34,0,1
1375,1,1,0,0,Juan de Fuca BC CA,48.393393,-123.769312,2018-01-23 0:44,0,1
